Time,SensorID,Type,Position,Value
0.0,48,Acceleration,550.0,-2.852334708457521e-23
0.01,48,Acceleration,550.0,5.1448779477137784e-23
0.02,48,Acceleration,550.0,1.1177084449631862e-22
0.03,48,Acceleration,550.0,1.2939793872668746e-22
0.04,48,Acceleration,550.0,9.760055727224148e-23
0.05,48,Acceleration,550.0,2.852388398373081e-23
0.06,48,Acceleration,550.0,-5.14482760287396e-23
0.07,48,Acceleration,550.0,-1.1176915692515768e-22
0.08,48,Acceleration,550.0,-1.2939770640799295e-22
0.09,48,Acceleration,550.0,-9.760054534504043e-23
0.1,48,Acceleration,550.0,-2.852390620804092e-23
0.11,48,Acceleration,550.0,5.1448454856446305e-23
0.12,48,Acceleration,550.0,1.1176984350295593e-22
0.13,48,Acceleration,550.0,1.2939751506321875e-22
0.14,48,Acceleration,550.0,9.760101346698523e-23
0.15,48,Acceleration,550.0,2.852365494519213e-23
0.16,48,Acceleration,550.0,-5.144909509572765e-23
0.17,48,Acceleration,550.0,-1.117702279212816e-22
0.18,48,Acceleration,550.0,-1.2939968951114838e-22
0.19,48,Acceleration,550.0,-9.76007977850224e-23
0.2,48,Acceleration,550.0,-2.8523833078431784e-23
0.21,48,Acceleration,550.0,5.1448321856290136e-23
0.22,48,Acceleration,550.0,1.1177104912981316e-22
0.23,48,Acceleration,550.0,1.2939793325966446e-22
0.24,48,Acceleration,550.0,9.76004131109691e-23
0.25,48,Acceleration,550.0,2.852325403362457e-23
0.26,48,Acceleration,550.0,-5.144850722118274e-23
0.27,48,Acceleration,550.0,-1.1176929539342356e-22
0.28,48,Acceleration,550.0,-1.2939716579538137e-22
0.29,48,Acceleration,550.0,-9.76003692674908e-23
0.3,48,Acceleration,550.0,-2.852368004209101e-23
0.31,48,Acceleration,550.0,5.1448485598145896e-23
0.32,48,Acceleration,550.0,1.117702074822819e-22
0.33,48,Acceleration,550.0,1.2939742696679857e-22
0.34,48,Acceleration,550.0,9.760199715437367e-23
0.35000000000000003,48,Acceleration,550.0,2.8523657206471854e-23
0.36,48,Acceleration,550.0,-5.144823263055387e-23
0.37,48,Acceleration,550.0,-1.1176951060237562e-22
0.38,48,Acceleration,550.0,-1.2939604081779563e-22
0.39,48,Acceleration,550.0,-9.76023613056686e-23
0.4,48,Acceleration,550.0,-2.852354789481502e-23
0.41000000000000003,48,Acceleration,550.0,5.144895758375786e-23
0.42,48,Acceleration,550.0,1.1176888783344636e-22
0.43,48,Acceleration,550.0,1.2939645562167938e-22
0.44,48,Acceleration,550.0,9.760020545244288e-23
0.45,48,Acceleration,550.0,2.8523630908799774e-23
0.46,48,Acceleration,550.0,-5.144794903379913e-23
0.47000000000000003,48,Acceleration,550.0,-1.1177124348107633e-22
0.48,48,Acceleration,550.0,-1.2939803471511406e-22
0.49,48,Acceleration,550.0,-9.760186955410396e-23
0.5,48,Acceleration,550.0,-2.8524059886116585e-23
0.51,48,Acceleration,550.0,5.1449039752508446e-23
0.52,48,Acceleration,550.0,1.1176979859346624e-22
0.53,48,Acceleration,550.0,1.2939543590376925e-22
0.54,48,Acceleration,550.0,9.760006047507985e-23
0.55,48,Acceleration,550.0,2.8523453724779216e-23
0.56,48,Acceleration,550.0,-5.144744618249757e-23
0.5700000000000001,48,Acceleration,550.0,-1.1176932257274742e-22
0.58,48,Acceleration,550.0,-1.2939780895269613e-22
0.59,48,Acceleration,550.0,-9.760178542093164e-23
0.6,48,Acceleration,550.0,-2.852345058748153e-23
0.61,48,Acceleration,550.0,5.144865132199094e-23
0.62,48,Acceleration,550.0,1.1176946149336682e-22
0.63,48,Acceleration,550.0,1.294000327028734e-22
0.64,48,Acceleration,550.0,9.760038362883799e-23
0.65,48,Acceleration,550.0,2.8523714005976415e-23
0.66,48,Acceleration,550.0,-5.1448708665086046e-23
0.67,48,Acceleration,550.0,-1.1176919180832064e-22
0.68,48,Acceleration,550.0,-1.2939905075386219e-22
0.6900000000000001,48,Acceleration,550.0,-9.760069883051085e-23
0.7000000000000001,48,Acceleration,550.0,-2.852342028923834e-23
0.71,48,Acceleration,550.0,5.144838676390305e-23
0.72,48,Acceleration,550.0,1.1177011873763313e-22
0.73,48,Acceleration,550.0,1.2939652795017392e-22
0.74,48,Acceleration,550.0,9.76022340667356e-23
0.75,48,Acceleration,550.0,2.852377871984858e-23
0.76,48,Acceleration,550.0,-5.1448510336140474e-23
0.77,48,Acceleration,550.0,-1.1176980542488806e-22
0.78,48,Acceleration,550.0,-1.2939876760385535e-22
0.79,48,Acceleration,550.0,-9.760293590341757e-23
0.8,48,Acceleration,550.0,-2.852390657740827e-23
0.81,48,Acceleration,550.0,5.144880727024864e-23
0.8200000000000001,48,Acceleration,550.0,1.1177129988944908e-22
0.8300000000000001,48,Acceleration,550.0,1.2939829330821168e-22
0.84,48,Acceleration,550.0,9.759883662184505e-23
0.85,48,Acceleration,550.0,2.852358870693425e-23
0.86,48,Acceleration,550.0,-5.144805491292683e-23
0.87,48,Acceleration,550.0,-1.117710064610286e-22
0.88,48,Acceleration,550.0,-1.2939736221698122e-22
0.89,48,Acceleration,550.0,-9.760008167770565e-23
0.9,48,Acceleration,550.0,-2.8523897344762866e-23
0.91,48,Acceleration,550.0,5.144833836444221e-23
0.92,48,Acceleration,550.0,1.1176899673317478e-22
0.93,48,Acceleration,550.0,1.2939715830803413e-22
0.9400000000000001,48,Acceleration,550.0,9.759936339383421e-23
0.9500000000000001,48,Acceleration,550.0,2.8524310219051315e-23
0.96,48,Acceleration,550.0,-5.144850222986686e-23
0.97,48,Acceleration,550.0,-1.1177020421063267e-22
0.98,48,Acceleration,550.0,-1.2939931980534257e-22
0.99,48,Acceleration,550.0,-9.760108882211356e-23
31.0,48,Acceleration,550.0,-2.8524074698060276e-23
31.01,48,Acceleration,550.0,5.144810006330803e-23
31.02,48,Acceleration,550.0,1.1176918225053276e-22
31.03,48,Acceleration,550.0,1.2939954150886637e-22
31.04,48,Acceleration,550.0,9.760247950171457e-23
31.05,48,Acceleration,550.0,2.852386907003592e-23
31.06,48,Acceleration,550.0,-5.144759249918472e-23
31.07,48,Acceleration,550.0,-1.1176997074147117e-22
31.08,48,Acceleration,550.0,-1.2939698019287166e-22
31.09,48,Acceleration,550.0,-9.760152529395566e-23
31.1,48,Acceleration,550.0,-2.8523483633648335e-23
31.11,48,Acceleration,550.0,5.144877024302862e-23
31.12,48,Acceleration,550.0,1.117686580600595e-22
31.13,48,Acceleration,550.0,1.2939741082703854e-22
31.14,48,Acceleration,550.0,9.760177486317962e-23
31.15,48,Acceleration,550.0,2.8523263104942875e-23
31.16,48,Acceleration,550.0,-5.144859916610584e-23
31.17,48,Acceleration,550.0,-1.1177089601582179e-22
31.18,48,Acceleration,550.0,-1.2939706865283303e-22
31.19,48,Acceleration,550.0,-9.760065209120519e-23
31.2,48,Acceleration,550.0,-2.8523924828438934e-23
31.21,48,Acceleration,550.0,5.144914176893109e-23
31.22,48,Acceleration,550.0,1.1176998123727034e-22
31.23,48,Acceleration,550.0,1.293996539574726e-22
31.24,48,Acceleration,550.0,9.760205549494416e-23
31.25,48,Acceleration,550.0,2.8523648975844374e-23
31.26,48,Acceleration,550.0,-5.144846132648346e-23
31.27,48,Acceleration,550.0,-1.117684241449454e-22
31.28,48,Acceleration,550.0,-1.2939893418674513e-22
31.29,48,Acceleration,550.0,-9.760068879829528e-23
31.3,48,Acceleration,550.0,-2.852367828591537e-23
31.31,48,Acceleration,550.0,5.144880876493595e-23
31.32,48,Acceleration,550.0,1.1176821664875302e-22
31.33,48,Acceleration,550.0,1.2939809709628158e-22
31.34,48,Acceleration,550.0,9.760192059854972e-23
31.35,48,Acceleration,550.0,2.852386796128532e-23
31.36,48,Acceleration,550.0,-5.144924676637485e-23
31.37,48,Acceleration,550.0,-1.1176943907456073e-22
31.38,48,Acceleration,550.0,-1.2939655532180763e-22
31.39,48,Acceleration,550.0,-9.760025296113371e-23
31.4,48,Acceleration,550.0,-2.852351784917589e-23
31.41,48,Acceleration,550.0,5.144916199085189e-23
31.42,48,Acceleration,550.0,1.1176856300445338e-22
31.43,48,Acceleration,550.0,1.2939981873704097e-22
31.44,48,Acceleration,550.0,9.759991886962111e-23
31.45,48,Acceleration,550.0,2.852351188502464e-23
31.46,48,Acceleration,550.0,-5.144773199955162e-23
31.47,48,Acceleration,550.0,-1.1176876187830193e-22
31.48,48,Acceleration,550.0,-1.293965562445037e-22
31.49,48,Acceleration,550.0,-9.760246958036939e-23
31.5,48,Acceleration,550.0,-2.852376756032329e-23
31.51,48,Acceleration,550.0,5.1449043231485616e-23
31.52,48,Acceleration,550.0,1.117693877157502e-22
31.53,48,Acceleration,550.0,1.293965983495803e-22
31.54,48,Acceleration,550.0,9.760084455483718e-23
31.55,48,Acceleration,550.0,2.852406261971448e-23
31.56,48,Acceleration,550.0,-5.1448132433142416e-23
31.57,48,Acceleration,550.0,-1.1176900729078577e-22
31.58,48,Acceleration,550.0,-1.29397663575755e-22
31.59,48,Acceleration,550.0,-9.760081898263533e-23
31.6,48,Acceleration,550.0,-2.8523769195985207e-23
31.61,48,Acceleration,550.0,5.144826161950929e-23
31.62,48,Acceleration,550.0,1.1177057898278737e-22
31.63,48,Acceleration,550.0,1.2939717176866776e-22
31.64,48,Acceleration,550.0,9.759876253723503e-23
31.65,48,Acceleration,550.0,2.852413998595264e-23
31.66,48,Acceleration,550.0,-5.144929489360543e-23
31.67,48,Acceleration,550.0,-1.117705199235052e-22
31.68,48,Acceleration,550.0,-1.2939935677942635e-22
31.69,48,Acceleration,550.0,-9.760187592131582e-23
31.7,48,Acceleration,550.0,-2.852367213029757e-23
31.71,48,Acceleration,550.0,5.1448494035879094e-23
31.72,48,Acceleration,550.0,1.1176911507178276e-22
31.73,48,Acceleration,550.0,1.2939743363019491e-22
31.74,48,Acceleration,550.0,9.760078218451939e-23
